ID,VALUE
0x112,740
0x113,20
0x114,116
0x115,740
0x116,646
0x117,990
0x118,359
0x119,891
0x11a,980
0x11b,846
0x11c,60
0x11d,744
0x11e,236
0x11f,298
0x120,113
0x121,474
0x122,523
0x123,865
0x124,459
0x125,213
0x126,713
0x127,210
0x128,304
0x129,23
0x12a,5
0x12b,212
0x12c,316
0x12d,434
0x12e,281
0x12f,383
0x130,143
0x131,853
0x132,215
0x133,699
0x134,9
0x135,560
0x136,696
0x137,515
0x138,68
0x139,884
0x13a,829
0x13b,344
0x13c,474
0x13d,793
0x13e,963
0x13f,764
0x140,142
0x141,564
0x142,728
0x143,583
0x144,205
0x145,795
0x146,399
0x147,884
0x148,353
0x149,256
0x14a,58
0x14b,142
0x14c,78
0x14d,429
0x14e,94
0x14f,102
0x150,572
0x151,65
0x152,701
0x153,280
0x154,596
0x155,158
0x156,437
0x157,397
0x158,204
0x159,213
0x15a,112
0x15b,743
0x15c,953
0x15d,880
0x15e,276
0x15f,293
0x160,544
0x161,719
0x162,991
0x163,903
0x164,363
0x165,187
0x166,705
0x167,458
0x168,531
0x169,620
0x16a,366
0x16b,564
0x16c,741
0x16d,844
0x16e,522
0x16f,505
0x170,468
0x171,883
0x172,755
0x173,450
0x174,262
0x175,309
0x176,643
0x177,707
0x178,175
0x179,540
0x17a,666
0x17b,653
0x17c,717
0x17d,273
0x17e,146
0x17f,123
0x180,980
0x181,112
0x182,950
0x183,496
0x184,903
0x185,595
0x186,333
0x187,298
0x188,851
0x189,455
0x18a,715
0x18b,62
0x18c,768
0x18d,786
0x18e,743
0x18f,2
0x190,334
0x191,666
0x192,617
0x193,869
0x194,153
0x195,447
0x196,841
0x197,57
0x198,364
0x199,774
0x19a,506
0x19b,701
0x19c,359
0x19d,760
0x19e,655
0x19f,191
0x1a0,690
0x1a1,625
0x1a2,514
0x1a3,750
0x1a4,652
0x1a5,921
0x1a6,4
0x1a7,271
0x1a8,92
0x1a9,35
0x1aa,388
0x1ab,238
0x1ac,525
0x1ad,905
0x1ae,923
0x1af,309
0x1b0,959
0x1b1,488
0x1b2,385
0x1b3,53
0x1b4,34
0x1b5,597
0x1b6,46
0x1b7,317
0x1b8,180
0x1b9,941
0x1ba,454
0x1bb,272
0x1bc,23
0x1bd,681
0x1be,683
0x1bf,546
0x1c0,284
0x1c1,890
0x1c2,716
0x1c3,832
0x1c4,647
0x1c5,8
0x1c6,159
0x1c7,596
0x1c8,188
0x1c9,506
0x1ca,47
0x1cb,581
0x1cc,754
0x1cd,42
0x1ce,653
0x1cf,453
0x1d0,128
0x1d1,696
0x1d2,768
0x1d3,667
0x1d4,697
0x1d5,550
0x1d6,691
0x1d7,420
0x1d8,123
0x1d9,253
0x1da,366
0x1db,434
0x1dc,349
0x1dd,880
0x1de,768
0x1df,866
0x1e0,255
0x1e1,40
0x1e2,40
0x1e3,456
0x1e4,424
0x1e5,67
0x1e6,462
0x1e7,562
0x1e8,160
0x1e9,467
0x1ea,256
0x1eb,409
0x1ec,989
0x1ed,338
0x1ee,636
0x1ef,94
0x1f0,699
0x1f1,29
0x1f2,659
0x1f3,888
0x1f4,721
0x1f5,783
0x1f6,125
0x1f7,384
0x1f8,842
0x1f9,766
0x1fa,740
0x1fb,621
0x1fc,131
0x1fd,594
0x1fe,838
0x1ff,724
0x200,862
0x201,662
0x202,663
0x203,881
0x204,235
0x205,656
0x206,222
0x207,652
0x208,995
0x209,920
0x20a,344
0x20b,38
0x20c,341
0x20d,885
0x20e,595
0x20f,705
0x210,163
0x211,673
0x212,648
0x213,512
0x214,954
0x215,899
0x216,180
0x217,954
0x218,432
0x219,615
0x21a,489
0x21b,418
0x21c,140
0x21d,906
0x21e,557
0x21f,416
0x220,692
0x221,314
0x222,711
0x223,686
0x224,267
0x225,721
0x226,26
0x227,35
0x228,166
0x229,593
0x22a,719
0x22b,480
0x22c,478
0x22d,952
0x22e,844
0x22f,63
0x230,816
0x231,533
0x232,284
0x233,651
0x234,106
0x235,768
0x236,805
0x237,235
0x238,777
0x239,741
0x23a,19
0x23b,708
0x23c,945
0x23d,340
0x23e,563
0x23f,275
0x240,892
0x241,392
0x242,673
0x243,638
0x244,301
0x245,994
0x246,832
0x247,566
0x248,802
0x249,827
0x24a,39
0x24b,178
0x24c,599
0x24d,885
0x24e,883
0x24f,555
0x250,469
0x251,293
0x252,420
0x253,399
0x254,398
0x255,148
0x256,353
0x257,164
0x258,843
0x259,884
0x25a,766
0x25b,100
0x25c,449
0x25d,527
0x25e,668
0x25f,167
0x260,883
0x261,384
0x262,75
0x263,458
0x264,237
0x265,134
0x266,744
0x267,220
0x268,668
0x269,107
0x26a,813
0x26b,68
0x26c,289
0x26d,239
0x26e,470
0x26f,322
0x270,908
0x271,207
0x272,28
0x273,214
0x274,211
0x275,501
0x276,347
0x277,921
0x278,906
0x279,832
0x27a,494
0x27b,236
0x27c,751
0x27d,335
0x27e,675
0x27f,554
0x280,223
0x281,174
0x282,218
0x283,392
0x284,434
0x285,325
0x286,719
0x287,180
0x288,26
0x289,255
0x28a,755
0x28b,18
0x28c,863
0x28d,189
0x28e,251
0x28f,649
0x290,758
0x291,584
0x292,78
0x293,552
0x294,662
0x295,102
0x296,302
0x297,548
0x298,52
0x299,426
0x29a,163
0x29b,472
0x29c,10
0x29d,651
0x29e,298
0x29f,544
0x2a0,289
0x2a1,532
0x2a2,698
0x2a3,884
0x2a4,735
0x2a5,26
0x2a6,17
0x2a7,776
0x2a8,673
0x2a9,311
0x2aa,790
0x2ab,318
0x2ac,903
0x2ad,35
0x2ae,743
0x2af,728
0x2b0,632
0x2b1,6
0x2b2,800
0x2b3,217
0x2b4,787
0x2b5,799
0x2b6,482
0x2b7,716
0x2b8,200
0x2b9,384
0x2ba,574
0x2bb,524
0x2bc,245
0x2bd,694
0x2be,715
0x2bf,3
0x2c0,399
0x2c1,625
0x2c2,349
0x2c3,204
0x2c4,896
0x2c5,622
0x2c6,917
0x2c7,132
0x2c8,284
0x2c9,520
0x2ca,521
0x2cb,281
0x2cc,804
0x2cd,110
0x2ce,200
0x2cf,466
0x2d0,683
0x2d1,801
0x2d2,896
0x2d3,82
0x2d4,419
0x2d5,674
0x2d6,916
0x2d7,916
0x2d8,208
0x2d9,398
0x2da,798
0x2db,1
0x2dc,460
0x2dd,169
0x2de,671
0x2df,311
0x2e0,597
0x2e1,645
0x2e2,896
0x2e3,235
0x2e4,167
0x2e5,443
0x2e6,319
0x2e7,533
0x2e8,1000
0x2e9,852
0x2ea,39
0x2eb,401
0x2ec,980
0x2ed,355
0x2ee,501
0x2ef,237
0x2f0,684
0x2f1,330
0x2f2,498
0x2f3,707
0x2f4,285
0x2f5,146
0x2f6,686
0x2f7,954
0x2f8,846
0x2f9,958
0x2fa,757
0x2fb,572
0x2fc,455
0x2fd,185
0x2fe,317
0x2ff,649
0x300,450
0x301,465
0x302,470
0x303,932
0x304,677
0x305,172
0x306,711
0x307,249
0x308,582
0x309,549
0x30a,870
0x30b,554
0x30c,906
0x30d,215
0x30e,843
0x30f,796
0x310,5
0x311,66
0x312,840
0x313,277
0x314,507
0x315,903
0x316,973
0x317,398
0x318,829
0x319,851
0x31a,435
0x31b,560
0x31c,495
0x31d,385
0x31e,615
0x31f,626
0x320,314
0x321,895
0x322,793
0x323,242
0x324,163
0x325,786
0x326,541
0x327,347
0x328,171
0x329,84
0x32a,329
0x32b,221
0x32c,704
0x32d,573
0x32e,213
0x32f,542
0x330,68
0x331,716
0x332,710
0x333,553
0x334,457
0x335,6
0x336,767
0x337,924
0x338,582
0x339,33
0x33a,160
0x33b,676
0x33c,19
0x33d,102
0x33e,861
0x33f,66
0x340,598
0x341,386
0x342,319
0x343,402
0x344,395
0x345,141
0x346,870
0x347,141
0x348,267
0x349,626
0x34a,771
0x34b,914
0x34c,496
0x34d,23
0x34e,413
0x34f,695
0x350,33
0x351,850
0x352,411
0x353,891
0x354,296
0x355,904
0x356,444
0x357,453
0x358,828
0x359,393
0x35a,526
0x35b,706
0x35c,466
0x35d,96
0x35e,324
0x35f,151
0x360,829
0x361,900
0x362,708
0x363,127
0x364,481
0x365,349
0x366,73
0x367,559
0x368,604
0x369,313
0x36a,652
0x36b,231
0x36c,120
0x36d,728
0x36e,454
0x36f,740
0x370,165
0x371,593
0x372,297
0x373,79
0x374,606
0x375,619
0x376,519
0x377,89
0x378,267
0x379,420
0x37a,831
0x37b,967
0x37c,214
0x37d,987
0x37e,652
0x37f,765
0x380,678
0x381,323
0x382,223
0x383,991
0x384,361
0x385,936
0x386,295
0x387,545
0x388,422
0x389,193
0x38a,56
0x38b,554
0x38c,762
0x38d,939
0x38e,556
0x38f,454
0x390,22
0x391,83
0x392,304
0x393,945
0x394,333
0x395,498
0x396,672
0x397,512
0x398,947
0x399,82
0x39a,493
0x39b,439
0x39c,0
0x39d,239
0x39e,23
0x39f,487
0x3a0,743
0x3a1,938
0x3a2,331
0x3a3,647
0x3a4,940
0x3a5,603
0x3a6,960
0x3a7,993
0x3a8,292
0x3a9,339
0x3aa,125
0x3ab,739
0x3ac,400
0x3ad,747
0x3ae,287
0x3af,151
0x3b0,8
0x3b1,793
0x3b2,515
0x3b3,185
0x3b4,995
0x3b5,462
0x3b6,372
0x3b7,981
0x3b8,519
0x3b9,116
0x3ba,453
0x3bb,234
0x3bc,565
0x3bd,658
0x3be,216
0x3bf,750
0x3c0,397
0x3c1,784
0x3c2,237
0x3c3,273
0x3c4,938
0x3c5,720
0x3c6,641
0x3c7,667
0x3c8,558
0x3c9,222
0x3ca,398
0x3cb,986
0x3cc,554
0x3cd,5
0x3ce,348
0x3cf,136
0x3d0,209
0x3d1,234
0x3d2,762
0x3d3,625
0x3d4,874
0x3d5,796
0x3d6,909
0x3d7,566
0x3d8,405
0x3d9,735
0x3da,455
0x3db,368
0x3dc,15
0x3dd,936
0x3de,748
0x3df,947
0x3e0,572
0x3e1,382
0x3e2,962
0x3e3,889
0x3e4,377
0x3e5,139
0x3e6,489
0x3e7,867
0x3e8,25
0x3e9,966
0x3ea,610
0x3eb,748
0x3ec,16
0x3ed,517
0x3ee,585
0x3ef,934
0x3f0,226
0x3f1,705
0x3f2,582
0x3f3,427
0x3f4,512
0x3f5,427
0x3f6,141
0x3f7,821
0x3f8,405
0x3f9,74
0x3fa,606
0x3fb,843
0x3fc,525
0x3fd,355
0x3fe,469
0x3ff,876
0x400,918
0x401,746
0x402,590
0x403,393
0x404,91
0x405,915
0x406,632
0x407,544
0x408,376
0x409,277
0x40a,549
0x40b,353
0x40c,308
0x40d,18
0x40e,928
0x40f,252
0x410,711
0x411,617
0x412,671
0x413,927
0x414,153
0x415,286
0x416,793
0x417,614
0x418,37
0x419,424
0x41a,787
0x41b,21
0x41c,507
0x41d,350
0x41e,129
0x41f,167
0x420,442
0x421,904
0x422,788
0x423,978
0x424,289
0x425,401
0x426,965
0x427,393
0x428,420
0x429,856
0x42a,956
0x42b,23
0x42c,404
0x42d,740
0x42e,967
0x42f,852
0x430,809
0x431,996
0x432,379
0x433,704
0x434,58
0x435,233
0x436,445
0x437,740
0x438,386
0x439,946
0x43a,939
0x43b,341
0x43c,396
0x43d,293
0x43e,461
0x43f,620
0x440,94
0x441,786
0x442,489
0x443,949
0x444,303
0x445,446
0x446,703
0x447,381
0x448,602
0x449,831
0x44a,864
0x44b,167
0x44c,180
0x44d,172
0x44e,477
0x44f,969
0x450,761
0x451,630
0x452,932
0x453,689
0x454,917
0x455,115
0x456,967
0x457,553
0x458,666
0x459,949
0x45a,511
0x45b,214
0x45c,542
0x45d,877
0x45e,382
0x45f,271
0x460,72
0x461,329
0x462,13
0x463,166
0x464,216
0x465,424
0x466,301
0x467,792
0x468,920
0x469,657
0x46a,393
0x46b,697
0x46c,525
0x46d,919
0x46e,121
0x46f,795
0x470,636
0x471,222
0x472,0
0x473,403
0x474,951
0x475,912
0x476,911
0x477,942
0x478,672
0x479,614
0x47a,342
0x47b,538
0x47c,944
0x47d,645
0x47e,601
0x47f,791
0x480,987
0x481,135
0x482,901
0x483,247
0x484,816
0x485,626
0x486,197
0x487,487
0x488,434
0x489,568
0x48a,124
0x48b,625
0x48c,694
0x48d,425
0x48e,719
0x48f,81
0x490,328
0x491,71
0x492,375
0x493,684
0x494,242
0x495,797
0x496,32
0x497,241
0x498,891
0x499,738
0x49a,351
0x49b,428
0x49c,7
0x49d,204
0x49e,763
0x49f,325
0x4a0,579
0x4a1,820
0x4a2,764
0x4a3,63
0x4a4,922
0x4a5,483
0x4a6,364
0x4a7,615
0x4a8,776
0x4a9,505
0x4aa,305
0x4ab,915
0x4ac,36
0x4ad,261
0x4ae,665
0x4af,983
0x4b0,157
0x4b1,395
0x4b2,661
0x4b3,679
0x4b4,820
0x4b5,993
0x4b6,160
0x4b7,623
0x4b8,321
0x4b9,903
0x4ba,341
0x4bb,317
0x4bc,651
0x4bd,597
0x4be,853
0x4bf,823
0x4c0,541
0x4c1,67
0x4c2,489
0x4c3,264
0x4c4,923
0x4c5,803
0x4c6,940
0x4c7,85
0x4c8,226
0x4c9,931
0x4ca,312
0x4cb,121
0x4cc,997
0x4cd,75
0x4ce,109
0x4cf,263
0x4d0,17
0x4d1,987
0x4d2,982
0x4d3,241
0x4d4,308
0x4d5,26
0x4d6,659
0x4d7,283
0x4d8,682
0x4d9,875
0x4da,255
0x4db,140
0x4dc,85
0x4dd,522
0x4de,308
0x4df,359
0x4e0,312
0x4e1,602
0x4e2,598
0x4e3,40
0x4e4,645
0x4e5,5
0x4e6,60
0x4e7,248
0x4e8,539
0x4e9,730
0x4ea,814
0x4eb,56
0x4ec,183
0x4ed,759
0x4ee,327
0x4ef,126
0x4f0,444
0x4f1,890
0x4f2,116
0x4f3,488
0x4f4,264
0x4f5,583
0x4f6,463
0x4f7,707
0x4f8,138
0x4f9,205
0x4fa,771
0x4fb,796
0x4fc,107
0x4fd,424
0x4fe,379
0x4ff,297
0x500,900
0x501,331
0x502,800
0x503,894
0x504,540
0x505,72
0x506,407
0x507,11
0x508,237
0x509,939
0x50a,230
0x50b,127
0x50c,740
0x50d,910
0x50e,286
0x50f,150
0x510,538
0x511,738
0x512,816
0x513,349
0x514,770
0x515,889
0x516,481
0x517,961
0x518,415
0x519,328
0x51a,115
0x51b,857
0x51c,604
0x51d,382
0x51e,829
0x51f,3
0x520,904
0x521,912
0x522,425
0x523,455
0x524,577
0x525,656
0x526,32
0x527,222
0x528,515
0x529,111
0x52a,500
0x52b,782
0x52c,818
0x52d,767
0x52e,294
0x52f,845
0x530,470
0x531,382
0x532,944
0x533,91
0x534,411
0x535,912
0x536,871
0x537,105
0x538,313
0x539,822
0x53a,581
0x53b,472
0x53c,361
0x53d,793
0x53e,240
0x53f,605
0x540,180
0x541,395
0x542,942
0x543,158
0x544,674
0x545,791
0x546,618
0x547,758
0x548,715
0x549,11
0x54a,962
0x54b,801
0x54c,790
0x54d,267
0x54e,677
0x54f,350
0x550,936
0x551,527
0x552,17
0x553,237
0x554,380
0x555,129
0x556,847
0x557,791
0x558,368
0x559,84
0x55a,452
0x55b,55
0x55c,381
0x55d,842
0x55e,737
0x55f,911
0x560,810
0x561,84
0x562,954
0x563,149
0x564,570
0x565,490
0x566,57
0x567,418
0x568,575
0x569,476
0x56a,400
0x56b,931
0x56c,999
0x56d,755
0x56e,69
0x56f,7
0x570,329
0x571,427
0x572,825
0x573,221
0x574,81
0x575,585
0x576,616
0x577,855
0x578,169
0x579,685
0x57a,764
0x57b,439
0x57c,90
0x57d,524
0x57e,688
0x57f,829
0x580,401
0x581,200
0x582,702
0x583,708
0x584,304
0x585,163
0x586,46
0x587,166
0x588,12
0x589,410
0x58a,48
0x58b,521
0x58c,14
0x58d,840
0x58e,282
0x58f,454
0x590,345
0x591,314
0x592,676
0x593,769
0x594,864
0x595,813
0x596,970
0x597,193
0x598,897
0x599,573
0x59a,966
0x59b,92
0x59c,315
0x59d,161
0x59e,734
0x59f,813
0x5a0,851
0x5a1,562
0x5a2,915
0x5a3,414
0x5a4,729
0x5a5,860
0x5a6,93
0x5a7,265
0x5a8,202
0x5a9,906
0x5aa,612
0x5ab,114
0x5ac,649
0x5ad,635
0x5ae,626
0x5af,477
0x5b0,34
0x5b1,407
0x5b2,240
0x5b3,861
0x5b4,216
0x5b5,43
0x5b6,988
0x5b7,242
0x5b8,923
0x5b9,882
0x5ba,997
0x5bb,289
0x5bc,880
0x5bd,914
0x5be,806
0x5bf,708
0x5c0,41
0x5c1,289
0x5c2,71
0x5c3,4
0x5c4,995
0x5c5,975
0x5c6,779
0x5c7,80
0x5c8,945
0x5c9,860
0x5ca,685
0x5cb,190
0x5cc,112
0x5cd,969
0x5ce,534
0x5cf,826
0x5d0,683
0x5d1,47
0x5d2,769
0x5d3,594
0x5d4,933
0x5d5,839
0x5d6,933
0x5d7,30
0x5d8,585
0x5d9,76
0x5da,352
0x5db,272
0x5dc,481
0x5dd,366
0x5de,967
0x5df,362
0x5e0,188
0x5e1,563
0x5e2,795
0x5e3,278
0x5e4,299
0x5e5,490
0x5e6,99
0x5e7,853
0x5e8,523
0x5e9,379
0x5ea,266
0x5eb,478
0x5ec,333
0x5ed,701
0x5ee,788
0x5ef,323
0x5f0,50
0x5f1,443
0x5f2,734
0x5f3,758
0x5f4,293
0x5f5,927
0x5f6,251
0x5f7,462
0x5f8,202
0x5f9,810
0x5fa,530
0x5fb,117
0x5fc,858
0x5fd,643
0x5fe,54
0x5ff,706
0x600,645
0x601,492
0x602,416
0x603,84
0x604,473
0x605,23
0x606,829
0x607,543
0x608,611
0x609,546
0x60a,455
0x60b,230
0x60c,951
0x60d,306
0x60e,119
0x60f,367
0x610,344
0x611,355
0x612,862
0x613,122
0x614,18
0x615,438
0x616,82
0x617,0
0x618,222
0x619,173
0x61a,282
0x61b,990
0x61c,629
0x61d,95
0x61e,583
0x61f,288
0x620,815
0x621,215
0x622,688
0x623,622
0x624,467
0x625,694
0x626,707
0x627,310
0x628,153
0x629,966
0x62a,10
0x62b,407
0x62c,834
0x62d,359
0x62e,776
0x62f,805
0x630,949
0x631,537
0x632,103
0x633,95
0x634,417
0x635,13
0x636,953
0x637,153
0x638,930
0x639,312
0x63a,41
0x63b,623
0x63c,132
0x63d,900
0x63e,187
0x63f,467
0x640,445
0x641,128
0x642,349
0x643,837
0x644,60
0x645,799
0x646,366
0x647,653
0x648,237
0x649,477
0x64a,947
0x64b,330
0x64c,943
0x64d,133
0x64e,703
0x64f,36
0x650,471
0x651,182
0x652,453
0x653,323
0x654,865
0x655,42
0x656,333
0x657,625
0x658,869
0x659,266
0x65a,855
0x65b,452
0x65c,836
0x65d,518
0x65e,233
0x65f,251
0x660,25
0x661,540
0x662,911
0x663,824
0x664,89
0x665,7
0x666,306
0x667,516
0x668,160
0x669,379
0x66a,617
0x66b,869
0x66c,937
0x66d,555
0x66e,675
0x66f,522
0x670,996
0x671,905
0x672,569
0x673,944
0x674,727
0x675,582
0x676,807
0x677,104
0x678,276
0x679,962
0x67a,139
0x67b,853
0x67c,756
0x67d,502
0x67e,163
0x67f,520
0x680,566
0x681,585
0x682,442
0x683,874
0x684,915
0x685,236
0x686,648
0x687,472
0x688,973
0x689,243
0x68a,42
0x68b,396
0x68c,457
0x68d,26
0x68e,554
0x68f,492
0x690,850
0x691,898
0x692,524
0x693,219
0x694,436
0x695,279
0x696,641
0x697,6
0x698,795
0x699,596
0x69a,764
0x69b,793
0x69c,5
0x69d,624
0x69e,71
0x69f,224
0x6a0,309
0x6a1,559
0x6a2,175
0x6a3,762
0x6a4,645
0x6a5,674
0x6a6,92
0x6a7,71
0x6a8,962
0x6a9,716
0x6aa,319
0x6ab,945
0x6ac,688
0x6ad,106
0x6ae,734
0x6af,646
0x6b0,332
0x6b1,660
0x6b2,260
0x6b3,948
0x6b4,865
0x6b5,572
0x6b6,489
0x6b7,449
0x6b8,808
0x6b9,139
0x6ba,670
0x6bb,281
0x6bc,115
0x6bd,851
0x6be,547
0x6bf,930
0x6c0,490
0x6c1,209
0x6c2,477
0x6c3,908
0x6c4,563
0x6c5,45
0x6c6,956
0x6c7,588
0x6c8,671
0x6c9,487
0x6ca,122
0x6cb,726
0x6cc,356
0x6cd,548
0x6ce,198
0x6cf,250
0x6d0,7
0x6d1,251
0x6d2,522
0x6d3,957
0x6d4,481
0x6d5,738
0x6d6,251
0x6d7,313
0x6d8,95
0x6d9,824
0x6da,196
0x6db,332
0x6dc,882
0x6dd,999
0x6de,738
0x6df,803
0x6e0,110
0x6e1,591
0x6e2,938
0x6e3,453
0x6e4,110
0x6e5,253
0x6e6,521
0x6e7,822
0x6e8,381
0x6e9,927
0x6ea,442
0x6eb,362
0x6ec,835
0x6ed,271
0x6ee,598
0x6ef,65
0x6f0,435
0x6f1,572
0x6f2,69
0x6f3,785
0x6f4,197
0x6f5,864
0x6f6,774
0x6f7,489
0x6f8,845
0x6f9,624
0x6fa,576
0x6fb,68
0x6fc,445
0x6fd,183
0x6fe,387
0x6ff,275
0x700,472
0x701,555
0x702,755
0x703,801
0x704,231
0x705,993
0x706,676
0x707,124
0x708,369
0x709,517
0x70a,521
0x70b,236
0x70c,958
0x70d,764
0x70e,366
0x70f,258
0x710,639
0x711,932
0x712,592
0x713,223
0x714,235
0x715,612
0x716,508
0x717,22
0x718,580
0x719,387
0x71a,678
0x71b,35
0x71c,145
0x71d,633
0x71e,569
0x71f,52
0x720,762
0x721,142
0x722,729
0x723,276
0x724,819
0x725,933
0x726,494
0x727,215
0x728,748
0x729,110
0x72a,423
0x72b,647
0x72c,111
0x72d,872
0x72e,4
0x72f,666
0x730,133
0x731,921
0x732,41
0x733,793
0x734,585
0x735,877
0x736,525
0x737,569
0x738,961
0x739,144
0x73a,991
0x73b,371
0x73c,369
0x73d,457
0x73e,586
0x73f,898
0x740,967
0x741,735
0x742,540
0x743,816
0x744,477
0x745,631
0x746,943
0x747,353
0x748,537
0x749,573
0x74a,201
0x74b,915
0x74c,849
0x74d,174
0x74e,221
0x74f,251
0x750,65
0x751,752
0x752,578
0x753,845
0x754,488
0x755,444
0x756,690
0x757,350
0x758,341
0x759,385
0x75a,920
0x75b,829
0x75c,290
0x75d,236
0x75e,210
0x75f,783
0x760,747
0x761,842
0x762,845
0x763,258
0x764,353
0x765,200
0x766,659
0x767,763
0x768,67
0x769,201
0x76a,515
0x76b,73
0x76c,637
0x76d,850
0x76e,580
0x76f,564
0x770,822
0x771,377
0x772,734
0x773,67
0x774,201
0x775,641
0x776,224
0x777,770
0x778,918
0x779,539
0x77a,678
0x77b,761
0x77c,745
0x77d,828
0x77e,469
0x77f,713
0x780,426
0x781,881
0x782,939
0x783,634
0x784,427
0x785,77
0x786,911
0x787,884
0x788,440
0x789,495
0x78a,796
0x78b,991
0x78c,568
0x78d,830
0x78e,810
0x78f,220
0x790,532
0x791,879
0x792,572
0x793,799
0x794,129
0x795,945
0x796,54
0x797,292
0x798,319
0x799,785
0x79a,464
0x79b,290
0x79c,672
0x79d,272
0x79e,9
0x79f,95
0x7a0,847
0x7a1,918
0x7a2,155
0x7a3,565
0x7a4,117
0x7a5,384
0x7a6,197
0x7a7,211
0x7a8,231
0x7a9,75
0x7aa,809
0x7ab,930
0x7ac,396
0x7ad,506
0x7ae,611
0x7af,185
0x7b0,920
0x7b1,635
0x7b2,826
0x7b3,100
0x7b4,472
0x7b5,570
0x7b6,74
0x7b7,945
0x7b8,213
0x7b9,538
0x7ba,954
0x7bb,382
0x7bc,878
0x7bd,245
0x7be,289
0x7bf,817
0x7c0,769
0x7c1,10
0x7c2,711
0x7c3,825
0x7c4,7
0x7c5,833
0x7c6,832
0x7c7,297
0x7c8,374
0x7c9,464
0x7ca,204
0x7cb,621
0x7cc,475
0x7cd,609
0x7ce,393
0x7cf,349
0x7d0,768
0x7d1,829
0x7d2,795
0x7d3,804
0x7d4,752
0x7d5,896
0x7d6,118
0x7d7,118
0x7d8,790
0x7d9,734
0x7da,730
0x7db,897
0x7dc,882
0x7dd,167
0x7de,511
0x7df,637
0x7e0,173
0x7e1,719
0x7e2,553
0x7e3,11
0x7e4,852
0x7e5,927
0x7e6,372
0x7e7,495
0x7e8,369
0x7e9,206
0x7ea,800
